Title,Global Version,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Genre_genre
Castlevania: Season 1,Yes,2017-07-07,4200000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
Chef's Table: Pizza: Limited Series,Yes,2022-09-07,4200000,912.0,7.3,['Documentary'],"pizza,culinary,dish,food and drink documentary,food","Features chefs from all over the world whose creativity elevates an ordinary dish like pizza to an art form, with their unique flavors, inspiring backgrounds, and passion for creating the perfect slice.",Documentary
Designing Miami: Season 1,Yes,2022-09-21,4200000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
Framed! A Sicilian Murder Mystery: Season 1 // Incastrati: Stagione 1,Yes,2022-01-01,4200000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
Girls Incarcerated: Season 1,Yes,2018-03-02,4200000,130.0,6.6,"['Musical', 'Short']","underwater scene,waterfall,precision,swimming,march",This Warner Bros. short film shows the process that studios use to select women for the chorus line in movie musicals. It then presents a few clips of chorus lines in Busby Berkeley production numbers from 1930s Warner Bros. music...,Musical
Girls Incarcerated: Season 1,Yes,2018-03-02,4200000,130.0,6.6,"['Musical', 'Short']","underwater scene,waterfall,precision,swimming,march",This Warner Bros. short film shows the process that studios use to select women for the chorus line in movie musicals. It then presents a few clips of chorus lines in Busby Berkeley production numbers from 1930s Warner Bros. music...,Short
Izzy's Koala World: Season 1,Yes,2020-09-15,4200000,46265.23757763975,6.6,['Documentary'],"formula 1,f1,motorsport,season review,year in title","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Documentary
Kidnapping Stella,Yes,2019-07-12,4200000,6536.0,4.9,"['Crime', 'Thriller']","kidnapping,remake,remake of british film,character name in title,tied feet","Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors&apos; carefully-laid plans.",Crime
Kidnapping Stella,Yes,2019-07-12,4200000,6536.0,4.9,"['Crime', 'Thriller']","kidnapping,remake,remake of british film,character name in title,tied feet","Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors&apos; carefully-laid plans.",Thriller
Night in Paradise // 낙원의 밤,Yes,2021-04-09,4200000,8433.0,6.8,"['Action', 'Crime', 'Drama']","island,sister,love,demon,extreme violence","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",Action
